heap_size,retry_rate,list_size,gc_cycle,total_bytes_allocated,total_time
1000000,5,small,118,48116336,17775963802
1000000,5,medium,286,96253136,41395358562
1000000,5,large,986,144533072,83018153012
1000000,6,small,118,48117296,17629917014
1000000,6,medium,286,96253040,41428181827
1000000,6,large,982,144535184,82966798421
1000000,7,small,118,48119504,17643259608
1000000,7,medium,286,96250064,41353794495
1000000,7,large,984,144540560,82687218060
1000000,8,small,118,48117392,17650508824
1000000,8,medium,286,96260432,41761278436
1000000,8,large,982,144535472,83533704969
1000000,9,small,118,48115952,17627461841
1000000,9,medium,286,96252272,41367497172
1000000,9,large,982,144533744,160286874706
1000000,10,small,118,48116336,18008905533
1000000,10,medium,286,96253136,41513478571
1000000,10,large,986,144533072,83287096111
1000000,11,small,118,48117296,17500662630
1000000,11,medium,286,96253040,41370731312
1000000,11,large,982,144535184,82887541032
1000000,12,small,118,48119504,17556067244
1000000,12,medium,286,96250064,41411190859
1000000,12,large,984,144540560,83020861020
1000000,13,small,118,48117392,17657867372
1000000,13,medium,286,96260432,41346352724
1000000,13,large,982,144535472,83073606541
1000000,14,small,118,48115952,17554652337
1000000,14,medium,286,96252272,41290113710
1000000,14,large,982,144533744,85987584215
1000000,15,small,118,48117872,17827825859
1000000,15,medium,286,96252848,41402822667
1000000,15,large,990,144539696,82979451989
1000000,16,small,118,48115952,17683601831
1000000,16,medium,286,96249968,41389966075
1000000,16,large,984,144528560,83021870616
1000000,17,small,118,48117296,17550748476
1000000,17,medium,286,96254480,41400850742
1000000,17,large,980,144530384,82872393888
1000000,18,small,118,48118544,17516127249
1000000,18,medium,286,96250928,41500196366
1000000,18,large,994,144536240,83269742223
1000000,19,small,118,48116336,17558319803
1000000,19,medium,286,96253520,41366598402
1000000,19,large,982,144532400,82442509914
1000000,20,small,118,48116432,17581227346
1000000,20,medium,286,96255248,41135901668
1000000,20,large,990,144537008,82685839006
1000000,21,small,118,48117200,17659084534
1000000,21,medium,286,96247088,41498995128
1000000,21,large,978,144537776,83011935127
1000000,22,small,118,48117776,17566046746
1000000,22,medium,286,96253520,41355087387
1000000,22,large,996,144541712,83037880536
1000000,23,small,118,48116240,17671449160
1000000,23,medium,286,96251120,41688516213
1000000,23,large,990,144532880,83320203592
1000000,24,small,118,48116144,17666909305
1000000,24,medium,286,96253712,41067202924
1000000,24,large,980,144538640,82416745646
1000000,25,small,118,48117968,17674021610
1000000,25,medium,286,96255632,41180981485
1000000,25,large,984,144532400,82808398873
1000000,26,small,118,48118736,17559643603
1000000,26,medium,286,96252656,41218091895
1000000,26,large,984,144538064,83156582207
1000000,27,small,118,48118064,17657877850
1000000,27,medium,286,96257456,41195112348
1000000,27,large,986,144536144,83037692886
1000000,28,small,118,48116720,17607777886
1000000,28,medium,286,96256496,41302665783
1000000,28,large,986,144539696,82671208493
1000000,29,small,118,48116240,17546635120
1000000,29,medium,286,96253520,41495343138
1000000,29,large,994,144544592,82929766266
2000000,5,small,52,48110000,17688713571
2000000,5,medium,114,96236624,42413442252
2000000,5,large,198,144457424,83999496767
2000000,6,small,52,48110960,17130881990
2000000,6,medium,114,96236528,41844619571
2000000,6,large,198,144459920,84073230629
2000000,7,small,52,48113168,17084809467
2000000,7,medium,114,96233552,41806594646
2000000,7,large,198,144465104,84272936518
2000000,8,small,52,48111056,17075611362
2000000,8,medium,114,96243920,42006651681
2000000,8,large,198,144460208,83915284299
2000000,9,small,52,48109616,17081740964
